Song,Lyrics,embedding
بيوحشنا,"['ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'ملازمنا', 'ملازمنا', 'خياله', 'وطيفه', 'فين', 'نروح', 'ملازمنا', 'اكمنه', 'الروح', 'بالروح', 'لالالا', 'احب', 'مسموح', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'شاغلنا', 'شاغلنا', 'تعالي', 'اطمن', 'الاحوال', 'وطمنا', 'ان', 'بنيجي', 'ساعات', 'البال', 'حاجه', 'ان', 'ترد', 'الشوق', 'بسؤال', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله', 'با', 'ليله', 'ورا', 'ليله', 'عشقناه', 'ياما', 'الليل', 'طال', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'ياما', 'الليل', 'الليل', 'طال', 'ياما', 'النور', 'معاه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'رؤياه', 'بيوحشنا', 'بيوحشنا', 'بيوحشنا', 'والله']","[0.015916433, -0.03955582, -0.030557914, -0.0063474355, 0.04072671, -0.024631074, -0.0014504684, -0.013145337, 0.027819697, 0.029595915, 0.055366367, 0.023543747, -0.02913196, 0.025330193, 0.015838867, -0.049310595, -0.00012890226, 0.0070028165, -0.014574059, -0.029942162, -0.00227317, 0.0024510904, -0.036346387, -0.019048516, -0.019859454, -0.050566364, -0.013177769, -0.024563177, -0.00062213803, 0.06493891, -0.024680791, 0.004280985, -0.081547335, -0.018325418, -0.032719314, -0.04048804, 0.0076536494, 0.019249188, 0.036627337, 0.04281608, 0.031582788, -0.0026654128, -0.010407111, -0.018940523, 0.051849384, -0.02631048, 0.028546218, 0.012546479, 0.035538744, -0.066424854, -0.012898677, -0.013097567, 0.033514883, -0.015823353, 0.005556829, -0.0386957, 0.031154782, 0.024128992, 0.016927378, 0.0043734834, 0.035548083, 0.04204644, 0.021866815, 0.075555556, -0.007518582, -0.04347234, -0.011629224, -0.0014460235, 0.057111125, 0.00018531483, 0.024299951, 0.00933051, 0.057636335, -0.016893348, -0.07222579, -0.07889646, -0.03450726, 0.08878946, 0.0082940785, -0.05090949, -0.02146289, -0.07098624, -0.019501012, -0.04845568, 0.010920946, -0.021893034, -0.044451926, 0.009425165, -0.005780544, 0.041901, -0.0073285964, 0.019173712, -0.011210471, -0.0615759, -0.026260866, 0.063928224, -0.039233584, -0.02316281, 0.010142332, -0.04974266, -0.001041076, -0.049301647, -0.027287615, -0.007864648, 0.04242573, 0.013917247, 0.004436637, 0.051680766, -0.006781465, 0.029485436, -0.018954959, -0.016000219, -0.047405846, -0.032182332, 0.04105789, -0.010188692, 0.00862988, 0.058786377, 0.06478185, 0.052526336, -0.04987813, -0.021620814, 0.057726596, -0.0031345822, -0.012038815, 0.030237254, -0.019324377, 0.025141275, 0.065382816, 0.031751864, -0.029228898, -0.029152699, 0.0711019, 0.07526415, 0.06790848, 0.043084078, 0.08648957, 0.009818056, 0.046919823, -0.016582534, -0.014163659, 0.028225394, -0.0125660235, 0.052675027, 0.027534995, -0.01088247, -0.01892322, -0.00096203666, 0.039833717, -0.03473376, -0.052555706, -0.017528536, -0.034017466, 0.037464373, 0.068202116, 0.02123582, -0.06650799, 0.016841842, 0.023563946, 0.028469486, 0.08039178, 0.04695916, 0.0075014024, -0.014913487, -0.04627707, -0.03347982, -0.020281317, 0.0011286618, 0.026331674, 0.046414584, -0.019053765, 0.052952178, -0.053841814, -0.056839865, -0.008859897, -0.054062, 0.0024093068, 0.017611356, -0.035930376, 0.011873654, -0.025063414, -0.055237092, 0.032894827, 0.028280659, 0.03327793, -0.04293738, 0.13187724, -0.025142765, -0.029448543, 0.00458015, 0.09045925, -0.026375199, -0.04877834, 0.02582634, -0.021257695, 0.05822069, 0.0065787444, 0.017478269, 0.0049338695, -0.023093855, 0.010956358, 0.04034603, 0.023165084, -0.005425243, 0.016168224, -0.022707475, 0.068746045, -0.05085733, -0.03791046, 0.029874736, -0.058169678, 0.005421868, -0.02193093, 0.008052615, -0.0011665019, 0.019843886, 0.0117392335, 0.017446432, 0.032546192, -0.025042968, 0.02061698, 0.03697132, -0.06954606, 0.0047049085, -0.02328044, -0.006392572, -0.031583477, 0.046508387, -0.031967785, -0.06395803, 0.027231218, 0.034552105, 0.06225399, -0.031779237, 0.040061917, -0.035981942, 0.059830338, 0.025315342, 0.06675524, 0.032985162, -0.011955443, 0.07108831, 0.052202154, 0.01829694, -0.012079905, -0.033762176, -0.021160074, 0.040478863, -0.014397038, -0.0074270796, -0.008577316, -0.04206413, -0.009813708, 0.036504515, -0.067333214, 0.035192277, -0.022843823, 0.018983752, -0.028916117, 0.02231541, 0.051017568, 0.019677918, 0.036256794, -0.0104741715, 0.0025203926, 0.004926988, 0.019770626, -0.032861512, -0.044784855, 0.007254436, 0.0065059313, -0.050183855, 0.066613, 0.0015379306, -0.026290406, 0.031779338, -0.015279745, 0.039809015, -0.017933162, -0.035574574, -0.03229016, -0.017933495, 0.01882513, -0.012635238, -0.031189043, -0.009715872, -0.026013415, -0.04229569, 0.032869846, -0.020795781, -0.025317235, -0.011066915, -0.023035046, 0.009275043, -0.037764516, -0.0062854006, 0.009153239, 0.007891083, -0.0033152795, -0.024649456, 0.017097088, -0.006501875, -0.033289634, -0.054112762, -0.0020439816, 0.017121613, -0.034659337, -0.02747138, 0.014908486, 0.01914259, 0.006320807, -0.0011008609, -0.07166966, -0.0037884142, 0.051299486, -0.01568235, -0.015208319, 0.032923993, -0.040817697, 0.016764583, 0.018922724, 0.07179225, 0.01532236, -0.054259643, -0.028454171, -0.0016736535, -0.019690283, 0.03665189, 0.012855384, -0.009911639, -0.021477358, -0.01904708, -0.031714488, 0.008469338, 0.0042500566, 0.046039894, -0.09730939, 0.02002691, -0.047141857, -0.007645061, 0.007210766, -0.0039663585, -0.014055531, -0.034688767, 0.014806564, -0.005086993, -0.018366423, 0.014034782, 0.04797882, 0.026142484, -0.011455344, 0.08689566, -0.049811393, -0.0008785364, 0.022776658, -0.029403456, 0.05967914, -0.007980029, 0.027886823, 0.0053123836, 0.0066526644, 0.038473435, -0.025234602, -0.003906619, -0.031936053, 0.038819484, 0.028284237, 0.025301397, -0.02135509, -0.00032876487, -0.00053903885, -0.0079446575, 0.03117365, -0.013657867, -0.045235932, -0.051069003, -0.006420303, -0.035711154, 0.016796239, -0.025895236, -0.030219585, -0.013761206, 0.04798463, 0.057927772, 0.013458297, -0.024329597, 0.06166632, 0.038414057, 0.015877318, 0.070738584, 0.032870725, 0.02505954, 0.061044596, 0.03184305, -0.0059912233, -0.01545469, -0.039057862, -0.036682513, -0.00559494, -0.015686003, -0.011066955, -0.036213834, -0.053728025, -0.041509718, -0.047440533, 0.0005211202, -0.022092676, -0.007622785, -0.01511045, 0.008907337, 0.036713958, 0.03885691, 0.019201752, -0.073494256, -0.07095327, -0.032394167, 0.0312811, 0.0026859478, 0.014773468, 0.009758052, 0.026044222, 0.051834185, -0.035114914, 0.001995331, -0.066663235, -0.027974527, -0.027464736, -0.04598563, -0.0076501747, 0.02409673, 0.03331403, 0.0028701662, 0.011871272, -0.020818148, -0.00837741, -0.007527715, 0.04403751, 0.057211574, -0.009842666, -0.037054732, 0.0055592177, -0.00931061, 0.027187435, 0.020135961, -0.0612272, -0.028098177, 0.007504042, -0.044924088, 0.0509259, -0.09886287, 0.007777808, -0.07436598, -0.063129656, -0.02809235, -0.012860569, -0.033849478, 0.022670742, -0.0196292, -0.024065519, 0.036811613, 0.015061711, -0.00043788404, -0.046688467, -0.053080183, 0.03169301, -0.04297922, 0.044513837, 0.007358126, 0.02241929, 0.03449592, 0.005382608, -0.007739719, 0.027173541, -0.005971446, -0.029488701, 0.008861755, -0.06732411, -0.011947151, 0.0026211636, -0.037225477, -0.03339874, -0.021922085, 0.053631794, -0.010100576, -0.02944289, 0.012770128, -0.0018164632, 0.005893057, 0.006524435, 0.044815876, -0.041297678, 0.056391902, -0.020612273, -0.045563824, 0.0041964757, -0.017801337, -0.071828365, 0.035817266, 0.014846266, 0.022702463, 0.027827764, 0.045268044, -0.014141301, 0.0008495165, 0.049113177, -0.12650324, 0.04012255, 0.015820414, -0.02485558, -0.021680126, 0.00074388646, -0.014297718, 0.0004344171, -0.010672512, 0.028781317, -0.01782566, -0.03666894, 0.013955539, 0.02630522, -0.015381882, 0.021913996, -0.012330946, -0.11665342, -0.04953598, 0.014503647, -0.07619937, 0.018779494, 0.008600746, 0.00024444694, -0.044720598, -0.0009989808, 0.11203985, -0.04106126, -0.027108213, -0.004805401, -0.028545378, 0.009650396, 0.010104447, 0.044117678, -0.015314863, 0.02520989, -0.015142284, 0.027538884, -0.0144593045, 0.044141598, -0.000764199, -0.0071361978, -0.07569238, 0.0032698077, 0.0039519565, -0.032920722, -0.005470667, 0.002791589, -0.032024074, 0.008517287, -0.008178998, -0.013134099, -0.041155137, 0.03217363, -0.027435089, -0.012359643, -0.01210862, -0.007303878, -0.017391127, 0.06556843, 0.02980867, -0.011527547, 0.009685299, 0.053785026, -0.046690043, 0.03849645, 0.004223687, 0.04086638, -0.0003437908, 0.014999803, -0.026609913, -0.045371495, 0.009680768, -0.0021653096, 0.060338635, 0.05323864, 0.010354493, -0.0017949495, 0.055480685, -0.03453616, 0.0046338676, 0.030718502, 0.015918698, 0.015143547, 0.014368303, -0.04324905, 0.051437918, -0.02733798, 0.007574154, -0.006620225, 0.007817169, 0.0084150545, -0.005657938, -0.027517663, 0.015330659, 0.008190669, -0.06874726, 0.03559661, -0.009910201, 0.012810919, 0.024419922, -0.02271926, -0.006836524, -0.0016840765, -0.025873667, -0.005985543, -0.030642143, 0.015086614, -0.043853458, -0.04039978, 0.022969203, 0.07844203, 0.049831986, -0.037395068, -0.05289091, 0.04845414, -0.044850215, -0.0156091945, 0.04743416, 0.044604395, -0.0133508155, -0.0021653115, -0.07156606, 0.045227908, 0.03499128, 0.01692453, 0.06159543, 0.007064474, -0.022652114, -0.012423157, 0.035136566, 0.00396254, 0.006176116, 0.021686051, 0.0049565104, -0.10674779, 0.032158572, 0.057674382, -0.022047468, -0.033348706, 0.06581265, 0.04553749, -0.082766265, -0.018035844, -0.0040114634, -0.064201236, -0.0056797806, 0.033950258, -0.0073667155, 0.010526964, 0.009063901, -0.0010393116, -0.036015444, 0.029788958, -0.013314046, -0.04079017, 0.0046294024, -0.033619836, 0.00089680543, -0.033794306, -0.020110032, -0.034464583, 0.0033527454, -0.048812915, 0.022456853, -0.05857564, 0.05954951, 0.06875799, -0.0038396418, -0.014750549, 0.040139966, -0.060646206, 0.07381975, -0.004344576, 0.02590844, -0.05393675, -0.048907697, -0.003958004, -0.0123125035, 0.0068700565, 0.025463806, 0.011219166, -0.031034747, 0.03195612, -0.036157817, 0.03428174, -0.01377387, 0.0013998582, 0.027807215, 0.063466385, -0.005033096, -0.01121637, 0.0014488245, -0.003684135, 0.06129972, -0.002198861, -0.07613544, -0.012686066, 0.058833256, 0.018073492, 0.01293047, 0.016345423, 0.028386915, 0.059827607, 0.034354314, -0.004550378, -0.008429043, -0.08395254, 0.02658781, -0.011226444, -0.02520434, 0.039776843, 0.002040955, -0.03653656, 0.057312697, 0.047298826, 0.0007581297, 0.026056165, -0.06380528, -0.019840114, 0.042040486, -0.05357051, 0.0377259, -0.014332271, -0.013291438, 0.061926834, -0.011237273, -0.018810771, 0.011579565, -0.06360138, 0.0730494, -0.024689246, 0.015730333, -0.044616416, -0.04792806, -0.073105045, 0.005667895, -0.0033204714, 0.07079283, -0.027594756, -0.052622914, 0.034309056, -0.016478924, 0.010430915, -0.050072774, -0.071174, 0.0009902038, -0.026445506, 0.016831407, 0.05414393, -0.015292525, 0.035335977, -0.013700023, -0.036623262, 0.019577513, -0.04739376, 0.01932984, 0.052093554, 0.02237371, 0.030773804, 0.037298113, -0.021044066, 0.02872058]"
معرفش حد بالأسم ده,"['اعرفش', 'بالاسم', 'انا', 'تاه', 'عقله', 'ولقاه', 'اعرفش', 'بالاسم', 'موهوم', 'بقي', 'وربك', 'هداه', 'هعتبره', 'وقت', 'فراغ', 'وفات', 'او', 'انا', 'اتسليت', 'معاه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'بقي', 'الاولي', 'اكيد', 'انساه', 'انا', 'همشي', 'وابعد', 'سكات', 'انا', 'حر', 'اسموش', 'هروب', 'شافش', 'اي', 'مميزات', 'بالعكس', 'لعيوب', 'جايز', 'سوء', 'اختيار', 'جايز', 'تكفير', 'ذنوب', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه', 'قولوله', 'خرجتش', 'يعني', 'الجنه', 'سابليش', 'حاجه', 'تتشال', 'بينا', 'سابليش', 'حاجه', 'هتخليني', 'استناه', 'بقي', 'الاولي', 'اكيد', 'انساه']","[0.015733007, -0.03981929, -0.029941708, -0.007949018, 0.04069991, -0.024777487, -0.002512653, -0.014515041, 0.028476156, 0.028122699, 0.05590677, 0.021213785, -0.028545706, 0.022753455, 0.0152795585, -0.049046863, -0.00046283723, 0.007927756, -0.014418556, -0.032189842, -0.0036913597, 0.001924831, -0.037293874, -0.01819133, -0.019268224, -0.051327534, -0.014005287, -0.023465814, -0.0008834001, 0.0635853, -0.023349421, 0.0022829864, -0.08244736, -0.018674666, -0.03204044, -0.039224807, 0.008679649, 0.01654093, 0.037796043, 0.04253436, 0.031082077, -0.0022531846, -0.01024581, -0.021391217, 0.049066048, -0.027540846, 0.02917914, 0.01211642, 0.037339784, -0.06855799, -0.012710783, -0.011474434, 0.0348393, -0.01624778, 0.0048341397, -0.037532672, 0.030281248, 0.022257742, 0.014460553, 0.004879145, 0.03458467, 0.041780632, 0.021954777, 0.075657815, -0.007424274, -0.044632457, -0.011169728, -0.0011782589, 0.05588824, 0.0019447401, 0.024179362, 0.008840314, 0.056488156, -0.015289262, -0.07103068, -0.07614408, -0.03374158, 0.08748264, 0.008781276, -0.05070478, -0.020085113, -0.07061986, -0.019745603, -0.047142327, 0.009853319, -0.022293508, -0.044988878, 0.008209573, -0.0053685703, 0.041095003, -0.0052783606, 0.019038867, -0.008853807, -0.0616585, -0.026920658, 0.064227134, -0.038885433, -0.02249649, 0.010162493, -0.049686737, -0.0014810185, -0.04966691, -0.028023075, -0.0077953488, 0.042244516, 0.013684117, 0.003909893, 0.05027211, -0.0076816287, 0.030220699, -0.02001945, -0.017765783, -0.048909184, -0.033025365, 0.040253762, -0.012108158, 0.008414437, 0.057362847, 0.06616487, 0.051659457, -0.048401773, -0.018879198, 0.055821635, -0.002087687, -0.011012243, 0.031239683, -0.019585561, 0.023929512, 0.0667375, 0.034198258, -0.028795984, -0.030144257, 0.07175272, 0.07495811, 0.06562257, 0.042424764, 0.08725735, 0.010317898, 0.046343684, -0.01484692, -0.014712447, 0.028794767, -0.01246801, 0.053228855, 0.026670951, -0.0103773335, -0.02094767, -0.0025742394, 0.041290794, -0.037056934, -0.05144521, -0.017302591, -0.034408078, 0.03681758, 0.07044353, 0.02094684, -0.064901784, 0.017059281, 0.023568517, 0.029055316, 0.080474496, 0.048547458, 0.0033634317, -0.015483789, -0.045910865, -0.033348408, -0.019260818, 0.0018855574, 0.02810659, 0.044226255, -0.019193273, 0.052976742, -0.05623664, -0.05518957, -0.008728303, -0.055502925, 0.0009476567, 0.01595057, -0.037168674, 0.01296701, -0.024295397, -0.054785993, 0.0338918, 0.028801288, 0.03312831, -0.04200846, 0.13067964, -0.025140857, -0.029723683, 0.0033522951, 0.08847273, -0.02636627, -0.046811897, 0.028847694, -0.021396799, 0.05724728, 0.006477161, 0.017201312, 0.0037504516, -0.024622818, 0.009654406, 0.041334543, 0.02292506, -0.0075717154, 0.01646671, -0.021626228, 0.07043885, -0.049928434, -0.038682155, 0.03077381, -0.05672723, 0.0060529727, -0.022140888, 0.0075788144, 0.0004746368, 0.018200438, 0.012714367, 0.019006513, 0.031150583, -0.026034666, 0.02143918, 0.036673572, -0.06939644, 0.0044415398, -0.021985184, -0.0072986493, -0.029570883, 0.045522593, -0.033307116, -0.062028512, 0.02516424, 0.034108877, 0.06354785, -0.03253457, 0.04019029, -0.03456446, 0.0598583, 0.023747653, 0.067997016, 0.03187524, -0.014460808, 0.07034814, 0.051324762, 0.019238083, -0.012681053, -0.033362187, -0.018871006, 0.042649705, -0.014045264, -0.0061331135, -0.0070268293, -0.043298066, -0.0104062455, 0.037499774, -0.06677319, 0.03308233, -0.022563608, 0.01899302, -0.031419087, 0.023198316, 0.05092103, 0.018079495, 0.037219882, -0.011504413, 0.002306268, 0.003084911, 0.019544123, -0.0317866, -0.044836447, 0.006256944, 0.006151143, -0.051948074, 0.06858266, 0.0016089298, -0.026444433, 0.03254456, -0.0155612165, 0.03974153, -0.017278794, -0.035703063, -0.0331674, -0.016115418, 0.019464403, -0.010887185, -0.02948855, -0.011999098, -0.024210129, -0.0405644, 0.034095883, -0.021915294, -0.025467386, -0.01299321, -0.023267273, 0.008526946, -0.03795264, -0.0062305266, 0.0067685377, 0.007002421, -0.001426774, -0.024451196, 0.01726968, -0.004118027, -0.03372242, -0.054173134, -0.001472031, 0.01942306, -0.035999306, -0.02803292, 0.013489344, 0.0203964, 0.004577941, -0.0018307586, -0.071455754, -0.004429061, 0.05106707, -0.016275274, -0.016069127, 0.035934784, -0.039931178, 0.017341798, 0.01824347, 0.07418534, 0.01437757, -0.051279202, -0.02744838, -0.0016154265, -0.018996723, 0.03655082, 0.0120121725, -0.011426367, -0.021269487, -0.018467775, -0.0318547, 0.00839687, 0.004605006, 0.045928214, -0.09888721, 0.021112781, -0.04572588, -0.0075486973, 0.00807745, -0.0041413214, -0.014645365, -0.034061417, 0.014431145, -0.0046415236, -0.017851202, 0.012359205, 0.04810151, 0.027130157, -0.01091446, 0.0873869, -0.04721044, -0.00201826, 0.022634288, -0.029136525, 0.060093977, -0.00849911, 0.028173862, 0.0028365662, 0.0057543926, 0.038021535, -0.026431732, -0.0031829637, -0.030906487, 0.03853286, 0.028252004, 0.02593772, -0.021894714, 0.0015050074, -0.0018367552, -0.007944851, 0.027706852, -0.012716635, -0.046508353, -0.051151816, -0.0055308393, -0.035488144, 0.016568208, -0.026486827, -0.031416763, -0.013959122, 0.0453978, 0.05696656, 0.014438346, -0.024453867, 0.06109797, 0.038702488, 0.01704285, 0.06963378, 0.033690415, 0.027427291, 0.061075322, 0.030998386, -0.0060679344, -0.015283774, -0.040300537, -0.034908805, -0.0033453063, -0.015177745, -0.011833023, -0.0366733, -0.053497504, -0.042029418, -0.04735904, -0.0012935802, -0.023202794, -0.009265608, -0.013954698, 0.008165994, 0.036331136, 0.040724486, 0.01935977, -0.07620514, -0.07118446, -0.033509687, 0.029094046, 0.0012326866, 0.015967507, 0.010239165, 0.025759751, 0.052312437, -0.033867728, 0.000617562, -0.06572539, -0.030685673, -0.029937247, -0.046400674, -0.008303152, 0.024101365, 0.03114924, 0.0032484473, 0.01172421, -0.02108577, -0.0073017064, -0.008104957, 0.044415485, 0.057748917, -0.00820874, -0.03655106, 0.005350379, -0.011103088, 0.026575195, 0.020173019, -0.060759593, -0.027401034, 0.010253157, -0.044989817, 0.051109668, -0.099735744, 0.007521533, -0.074340746, -0.06373048, -0.02691517, -0.014279224, -0.032959845, 0.021588277, -0.021594878, -0.024219545, 0.037524115, 0.014080435, -0.0011873145, -0.046921708, -0.054292046, 0.030849196, -0.04313121, 0.04361996, 0.0069612334, 0.02371616, 0.036134116, 0.007091481, -0.0065458827, 0.026439328, -0.0072554755, -0.029181719, 0.009000752, -0.06596724, -0.011169115, 0.001711769, -0.037345164, -0.032324646, -0.02064444, 0.05392493, -0.009573049, -0.02972657, 0.012050704, -0.0012921888, 0.004912321, 0.007684549, 0.04167395, -0.04268046, 0.05792649, -0.018045094, -0.044598814, 0.004384428, -0.018100273, -0.0726679, 0.033940706, 0.016273353, 0.022931453, 0.02837386, 0.046445537, -0.013192171, -0.0005754219, 0.051075023, -0.1267974, 0.040597364, 0.015759312, -0.02543303, -0.02149749, -0.0013498763, -0.014146725, 0.0024190447, -0.013313648, 0.029172033, -0.015182569, -0.03664192, 0.0145975035, 0.026929777, -0.015426348, 0.022501267, -0.012390214, -0.11786303, -0.04946066, 0.016054986, -0.07786976, 0.017736329, 0.008327558, 0.001635355, -0.04514028, 0.00047371877, 0.110196255, -0.04165503, -0.028603852, -0.0041911164, -0.029551292, 0.012025158, 0.011015067, 0.04523062, -0.0156014385, 0.02709653, -0.013147302, 0.027340356, -0.01506766, 0.043254748, -0.0017219732, -0.008793552, -0.07579977, 0.0010873941, 0.0029435449, -0.033581365, -0.0072879926, 0.0018362196, -0.033284318, 0.009816264, -0.008278511, -0.014615205, -0.04134026, 0.032765087, -0.026478214, -0.011474097, -0.012190913, -0.010035795, -0.016438441, 0.06445355, 0.030742522, -0.0094403615, 0.00759612, 0.05457637, -0.047467265, 0.03939381, 0.0033217235, 0.039264146, 0.0012862725, 0.013382517, -0.027911294, -0.0455868, 0.008645478, -0.0012386013, 0.057952248, 0.05471783, 0.009340361, -0.0023403245, 0.054517068, -0.03273262, 0.00588075, 0.02941191, 0.015497696, 0.014974372, 0.014462744, -0.044456284, 0.052359145, -0.025896052, 0.005442895, -0.004750993, 0.008349848, 0.0062479307, -0.004140286, -0.027689012, 0.0137637695, 0.009607859, -0.06805311, 0.036432717, -0.012764366, 0.013145391, 0.023610076, -0.023371836, -0.00487943, -0.0023272403, -0.02622267, -0.0052107302, -0.02941644, 0.018436406, -0.04230648, -0.04000114, 0.023180125, 0.08133912, 0.04925085, -0.03604085, -0.051715165, 0.048287872, -0.043039694, -0.01597258, 0.046481453, 0.04567861, -0.013257554, -0.0021105737, -0.07202509, 0.0447161, 0.033575933, 0.016043216, 0.06102601, 0.007564414, -0.024167644, -0.011706705, 0.036824755, 0.0036413511, 0.004708656, 0.022494953, 0.0043915026, -0.10751642, 0.031973768, 0.057506375, -0.024639266, -0.035008274, 0.0672077, 0.04612554, -0.08310447, -0.018289847, -0.0044974275, -0.063737065, -0.0060146325, 0.033895146, -0.007808032, 0.009241011, 0.008998277, -0.00079696864, -0.037569363, 0.02972373, -0.014251546, -0.04138567, 0.0025329215, -0.034031317, 0.0018169488, -0.03452167, -0.020490957, -0.034652602, 0.0054033897, -0.0496427, 0.022811567, -0.058923304, 0.057345923, 0.069299676, -0.0055952794, -0.015510801, 0.04070636, -0.05892134, 0.07255952, -0.003026659, 0.026793437, -0.05321112, -0.048761383, -0.003368463, -0.011369326, 0.0045679566, 0.027068809, 0.011036558, -0.02951967, 0.031047974, -0.036250472, 0.03165126, -0.012174036, 0.0004468944, 0.026199233, 0.06328756, -0.007517097, -0.0096545, 0.000579819, -0.0023702967, 0.061078537, -0.0010323153, -0.075770326, -0.0140482485, 0.05912623, 0.01502084, 0.012324879, 0.016401831, 0.02695401, 0.059623323, 0.031874705, -0.0022354939, -0.009230928, -0.0846391, 0.02806938, -0.0101849325, -0.024815658, 0.039964605, 0.002485182, -0.038817804, 0.05782018, 0.046635874, 0.001828603, 0.026310105, -0.06504611, -0.020511877, 0.040781036, -0.052672293, 0.03796702, -0.015110142, -0.014036943, 0.061556082, -0.009935873, -0.018436411, 0.010004896, -0.06240764, 0.07323175, -0.02422422, 0.017954411, -0.04381815, -0.04922759, -0.07428466, 0.007457901, -0.002610257, 0.07330143, -0.028164733, -0.05247394, 0.033580307, -0.0174525, 0.010663264, -0.049887653, -0.07423396, 0.0016629247, -0.027174354, 0.016365858, 0.05438093, -0.015955763, 0.035667814, -0.013240266, -0.03530113, 0.019378198, -0.04925792, 0.019572122, 0.050448216, 0.023214333, 0.030725468, 0.03739012, -0.020286381, 0.029315967]"
